City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
144,Tautira,PF,-17.7333,-149.15,79.27,82,7,17.85,clear sky
145,Biltine,TD,14.5333,20.9167,68.04,16,7,12.86,clear sky
146,Juigalpa,NI,12.1063,-85.3645,72.61,89,35,9.64,scattered clouds
147,Erice,IT,38.037,12.5865,52.27,77,0,6.38,clear sky
148,Zhigalovo,RU,54.8097,105.1578,5.76,82,100,6.78,overcast clouds
149,Camacha,PT,33.0833,-16.3333,58.42,77,20,10.36,few clouds
150,Lorengau,PG,-2.0226,147.2712,81.54,82,88,11.79,light rain
151,Scottsbluff,US,41.8666,-103.6672,33.12,75,0,5.75,clear sky
152,Esperance,AU,-33.8667,121.9,67.86,67,96,20.92,overcast clouds
153,Lata,PT,40.1629,-8.3327,48.07,88,94,2.98,overcast clouds
154,Berlevag,NO,70.8578,29.0864,23.0,79,32,6.91,scattered clouds
155,Caravelas,BR,-17.7125,-39.2481,71.87,95,100,4.27,light rain
156,Male,MV,4.1748,73.5089,80.55,83,75,4.61,heavy intensity rain
157,Guayanilla,PR,18.0191,-66.7918,75.11,81,13,3.69,few clouds
158,Areka,ET,7.0667,37.7,57.47,57,89,5.64,overcast clouds
159,Bathsheba,BB,13.2167,-59.5167,79.41,90,20,9.22,light rain
160,Constitucion,CL,-35.3333,-72.4167,55.76,70,39,11.23,scattered clouds
161,Ancud,CL,-41.8697,-73.8203,51.69,92,64,3.4,broken clouds
162,Fasa,IR,28.9383,53.6482,40.24,70,0,0.0,clear sky
163,Torbay,CA,47.6666,-52.7314,33.58,80,75,6.91,broken clouds
164,Altay,CN,47.8667,88.1167,10.56,68,17,5.77,few clouds
165,Baker City,US,44.7749,-117.8344,11.91,85,0,4.76,clear sky
166,Pisco,PE,-13.7,-76.2167,65.01,82,20,0.0,few clouds
167,Port-Cartier,CA,50.0334,-66.8654,39.42,100,100,2.95,heavy intensity rain
168,Husavik,IS,66.0449,-17.3389,30.72,77,4,11.68,clear sky
169,Tairua,NZ,-37.0167,175.85,72.07,47,0,2.77,clear sky
170,Gravdal,NO,68.1214,13.5031,37.06,74,100,14.58,overcast clouds
